Coutinho Liverpool 26 M(CLR) 14 1116 3.9 2.8 0.1 1 8.03
SergioAgüero ManchesterCity 30 AM(CL)FW 25 1969 3.8 0.6 0.4 2.8 7.81
AlexOxladeChamberlain Arsenal 25 M(CLR) 3 242 3 2.7 - 0.3 7.81
KevinDeBruyne ManchesterCity 27 AM(CLR)FW 37 3085 2.5 1.9 - 0.6 7.80
HenriSaivet NewcastleUnited 27 M(CLR)FW 1 84 1 1 - - 7.70
MohamedSalah Liverpool 26 AM(CLR)FW 36 2922 4 0.9 0.2 2.9 7.69
EdenHazard Chelsea 27 M(CLR)FW 34 2433 2.1 0.6 - 1.4 7.69
HarryKane Tottenham 25 AM(C)FW 37 3083 5 1.7 0.5 2.8 7.60
DavidSilva ManchesterCity 32 M(CLR) 29 2437 1.9 0.7 0.2 1 7.58
AlexisSánchez ManchesterUnited 29 M(CLR)FW 12 1048 1.6 0.4 0.2 1 7.55
RaheemSterling ManchesterCity 23 M(CLR)FW 33 2593 35.5 0.2 0.5 29.5 5.2 7.55
LeroySané ManchesterCity 22 M(CLR) 32 2423 34.1 0.4 0.2 28.3 5.2 7.54
PauloGazzaniga Tottenham 26 GK 1 90 22 7 5 10 - 7.52
AaronWan-Bissaka CrystalPalace 20 D(R) 7 628 29 0.7 3.3 20.4 4.6 7.52
PaulPogba ManchesterUnited 25 M(C) 27 2151 63.7 4.1 2.3 50.3 7 7.48
Fernandinho ManchesterCity 33 D(R)DMC 34 2885 87.5 3.1 2 75.7 6.7 7.44
JérémyPied Southampton 29 D(LR)M(CLR) 2 180 48 1.5 2.5 35.5 8.5 7.41
ChristianEriksen Tottenham 26 M(CLR) 37 3226 61 3.6 2.1 46.6 8.7 7.40
RobertoFirmino Liverpool 26 M(CLR)FW 37 2778 31.6 0.4 0.3 22.5 8.4 7.39
ShkodranMustafi Arsenal 26 D(CR) 27 2274 64.2 2.7 3.7 52.6 5.1 7.38
WilfriedZaha CrystalPalace 25 AM(LR)FW 29 2551 21.5 0.3 0.3 15.8 5 7.38
VirgilvanDijk Liverpool 27 D(C) 14 1260 81.2 5 3.6 67.9 4.6 7.35
HenrikhMkhitaryan Arsenal 29 M(CLR) 11 797 40.8 0.8 0.5 30.9 8.5 7.35
SergioRomero ManchesterUnited 31 GK 1 90 20 6 8 6 - 7.34
AlexisSánchez Arsenal 29 M(CLR)FW 19 1508 45.9 2.6 1.5 30.6 11.2 7.33
Pierre-EmerickAubameyang Arsenal 29 M(LR)FW 13 1058 24.4 0.4 0.6 16.5 6.8 7.33
JamesTomkins CrystalPalace 29 D(CR) 28 2388 31.7 2.7 3 23.3 2.8 7.31
RomeluLukaku ManchesterUnited 25 AM(R)FW 34 2869 21.2 0.6 0.2 13.9 6.5 7.29
RiyadMahrez Leicester 27 AM(CLR) 36 2961 35.4 3 1.4 25.2 5.8 7.28
SergeAurier Tottenham 25 D(CLR)M(R) 17 1429 45.6 1.5 1.5 34.7 7.9 7.28
EmreCan Liverpool 24 D(CLR)DMC 26 2094 59.3 2.9 2.4 47.8 6.2 7.28
KyleWalker-Peters Tottenham 21 Defender 3 188 32.3 1 0.3 25.7 5.3 7.28
SadioMané Liverpool 26 AM(CLR) 29 2207 33.2 0.8 0.4 25.8 6.1 7.27
AaronRamsey Arsenal 27 M(CR) 24 1848 51.6 1.8 0.9 42 6.9 7.27
JanVertonghen Tottenham 31 D(CL) 36 3205 69.1 4.5 4.2 55.1 5.3 7.26
MesutÖzil Arsenal 29 M(CLR) 26 2164 69.6 2.2 0.5 58 8.9 7.25
N'GoloKanté Chelsea 27 DMC 34 2998 63.3 2.6 1.2 53.9 5.6 7.25
ChrisSmalling ManchesterUnited 28 D(CR) 29 2536 39.2 1.5 2 32.8 2.9 7.24
JamesTarkowski Burnley 25 D(C) 31 2790 35.2 3.8 5.1 21.9 4.3 7.22
PhilJones ManchesterUnited 26 D(CR)DMC 23 1975 47.1 2.3 1.7 40.7 2.4 7.21
NemanjaMatic ManchesterUnited 30 DMC 36 3119 72.3 4.9 2.5 58.5 6.4 7.20
CésarAzpilicueta Chelsea 28 D(CLR)M(R) 37 3330 74.6 3.4 3.6 61.3 6.2 7.18
ShaneDuffy Brighton 26 D(C) 37 3294 36.7 3.6 4.4 24.4 4.3 7.18
KevinLong Burnley 28 D(C) 16 1440 33.8 3.8 4 20.4 5.6 7.16
FabianDelph ManchesterCity 28 D(L)M(CL) 22 1746 73.4 2.4 1.3 65.9 3.8 7.16
WilfredNdidi Leicester 21 DMC 33 2899 51 2.4 2.9 36.4 9.3 7.14
NicolásOtamendi ManchesterCity 30 D(C) 34 2968 90.4 4.3 2.4 78.8 4.9 7.13
MarcosAlonso Chelsea 27 D(CL)M(L) 33 2860 40.8 1.2 2.2 31.2 6.2 7.13
NachoMonreal Arsenal 32 D(CL)M(L) 28 2244 61.4 1.6 1.9 53.4 4.5 7.13
TheoWalcott Everton 29 M(LR)FW 14 1153 21.9 0.6 0.8 16.1 4.5 7.13
BenMee Burnley 28 D(CL) 29 2610 36.9 3.9 4.3 24.3 4.4 7.12
KurtZouma Stoke 23 D(CR) 34 2888 30 2.5 2.7 21 3.9 7.12
AshleyYoung ManchesterUnited 33 D(LR)M(LR) 30 2448 42.8 3.2 4.1 30.9 4.7 7.12
AndrosTownsend CrystalPalace 27 AM(LR)FW 36 3129 28.4 0.9 1.3 21.4 4.8 7.11
OleksandrZinchenko ManchesterCity 21 D(L)M(CR) 8 533 84 2.1 1 75.5 5.4 7.11
JosephGomez Liverpool 21 D(CLR) 23 1901 58.1 2.1 2.5 47 6.5 7.11
ChristopherSchindler Huddersfield 28 D(C) 37 3266 37.5 2.5 2.7 28 4.3 7.11
RobbieBrady Burnley 26 D(L)M(CLR) 15 1279 30.3 2.1 2.9 18.5 6.8 7.10
AlexanderSørloth CrystalPalace 22 FW 4 360 26.8 0.8 1 15.5 9.5 7.10
CescFàbregas Chelsea 31 M(CL)FW 32 2309 68.4 4 2.9 53.1 8.3 7.10
VirgilvanDijk Southampton 27 D(C) 12 993 52.8 3 4 42.3 3.5 7.10
RyanShawcross Stoke 30 D(C) 27 2372 24.7 2.1 2.6 14.4 5.5 7.09
AymericLaporte ManchesterCity 24 D(CL) 9 807 90.1 4.7 2.3 78.7 4.4 7.09
DeleAlli Tottenham 22 M(CL) 36 2972 34.8 1.1 1.1 25.8 6.9 7.09
AlexandreLacazette Arsenal 27 M(LR)FW 32 2212 22.6 0.3 0.3 17.1 5 7.09
BenDavies Tottenham 25 D(CL)M(L) 29 2325 45 1.6 2.3 34.4 6.7 7.08
RubenLoftus-Cheek CrystalPalace 22 M(CLR) 24 1875 30.1 1 0.5 23.8 4.8 7.08
LaurentKoscielny Arsenal 32 D(C) 25 2227 69.8 4.4 2.2 57.7 5.5 7.08
HarryMaguire Leicester 25 D(C) 38 3420 45.8 4.6 4.4 31.3 5.5 7.08
AntonioValencia ManchesterUnited 33 D(R)M(R) 31 2743 51.7 2.4 3 41.7 4.5 7.07
MarkoArnautovic WestHam 29 AM(CLR)FW 31 2323 22 0.3 0.7 15.4 5.5 7.07
LasseSorenson Stoke 18 Midfielder 1 76 54 3 3 37 11 7.06
FlorianLejeune NewcastleUnited 27 D(C) 24 2104 44.6 4.5 5.8 29.8 4.5 7.05
KyleWalker ManchesterCity 28 D(CR)M(R) 32 2787 73.8 2.7 2.6 62.1 6.4 7.05
GabrielJesus ManchesterCity 21 AM(LR)FW 29 1673 20.4 0.4 0.1 15.9 4 7.05
ManuelLanzini WestHam 25 AM(CLR) 27 2049 45 1.1 0.5 38.3 5 7.04
JamaalLascelles NewcastleUnited 24 D(C) 33 2928 35.9 2.4 3.8 25.3 4.4 7.04
VincentKompany ManchesterCity 32 D(C) 17 1397 84.1 4.9 2.1 72.9 4.2 7.04
KieranTrippier Tottenham 27 D(R)M(R) 24 1914 52.8 3.1 3.2 39.9 6.6 7.04
EricBailly ManchesterUnited 24 D(CR) 13 1000 32.8 1.4 2.2 26.8 2.3 7.03
ArthurMasuaku WestHam 24 D(L)M(L) 27 1873 25.2 1 1.4 19.3 3.5 7.02
LewisDunk Brighton 26 D(C) 38 3420 39.3 4.3 5.1 26.5 3.4 7.02
JohannBergGudmundsson Burnley 27 AM(CLR) 35 2840 23 1.2 1.7 15.7 4.4 7.02
AndrewRobertson Liverpool 24 D(L)M(L) 22 1943 64.6 1.9 2.6 54.4 5.8 7.02
TerenceKongolo Huddersfield 24 D(CL) 13 1047 23.9 0.9 2.4 16.2 4.5 7.02
GranitXhaka Arsenal 25 M(C) 38 3266 82 4.9 2.5 66.3 8.2 7.02
BadouNdiaye Stoke 27 M(C) 13 1140 26 1.6 0.8 19.8 3.8 7.02
TrentAlexander-Arnold Liverpool 19 D(R) 19 1576 53 3.9 5.3 37 6.8 7.02
LukaMilivojevic CrystalPalace 27 DMC 36 3082 45.9 3.4 2.7 33.4 6.4 7.01
CraigDawson WestBromwichAlbion 28 D(CR) 28 2509 32.4 2.2 4.5 20.3 5.3 7.01
Willian Chelsea 30 AM(CLR) 36 1883 25.7 1.1 0.6 19.5 4.4 7.01
AbdoulayeDoucouré Watford 25 M(C) 37 3325 60.6 2.3 1.6 48.5 8.4 7.00
DejanLovren Liverpool 29 D(C) 29 2125 62.2 3.1 3.3 51.9 3.8 6.99
SonHeung-Min Tottenham 26 M(CLR)FW 37 2312 24.8 0.4 0.3 20.7 3.4 6.99
AhmedHegazi WestBromwichAlbion 27 D(C) 38 3387 31.2 3.6 4 19.2 4.4 6.98
JamieVardy Leicester 31 AM(L)FW 37 3258 12.5 0.4 0.3 7.2 4.7 6.98
CucoMartina Everton 28 D(CLR) 21 1831 37.1 2.1 3.6 26.9 4.6 6.98
MatthewLowton Burnley 29 D(LR)M(R) 26 2295 31.7 2.8 4.8 19 5.1 6.97
MattTargett Southampton 22 D(L)M(L) 2 167 40 3 6.5 26 4.5 6.97
SimonFrancis Bournemouth 33 D(CR) 32 2710 50.2 3.8 5.4 33.1 7.8 6.96
HenrikhMkhitaryan ManchesterUnited 29 M(CLR) 15 931 35.4 0.9 0.9 28.3 5.3 6.96
YohanBenalouane Leicester 31 D(CR) 1 90 27 2 3 15 7 6.96
EricDier Tottenham 24 D(CR)DMC 34 2827 66.1 4.8 2.9 52.2 6.2 6.96
Kenedy NewcastleUnited 22 M(L) 13 1030 27 0.6 1 20.2 5.2 6.95
IdrissaGueye Everton 28 M(C) 33 2757 47.5 2.2 1.3 38.1 5.9 6.95
DavidOspina Arsenal 29 GK 5 380 23.4 4.4 7.2 11.8 - 6.95
JordanHenderson Liverpool 28 M(CLR) 27 2173 77.2 5.6 3.9 59.6 8.1 6.95
MarouaneFellaini ManchesterUnited 30 M(C) 16 613 24.6 0.7 0.4 20.3 3.2 6.94
