Neymar ParisSaintGermain 26 AM(CLR)FW 20 1788 4.5 1.8 0.3 2.5 8.95
FlorianThauvin Marseille 25 AM(CLR) 35 2966 3.7 1.4 0.4 1.9 7.94
NabilFekir Lyon 25 AM(CR)FW 30 2481 3 1.4 - 1.5 7.86
AdamaTraoré Monaco 23 AM(C) 3 189 2 0.7 - 1.3 7.77
EdinsonCavani ParisSaintGermain 31 AM(LR)FW 32 2589 3.3 0.6 0.4 2.3 7.69
Jean-ChristopheBouet Amiens 35 Goalkeeper 1 90 - - - - 7.69
KylianMbappé ParisSaintGermain 19 AM(R)FW 27 2097 2.9 0.3 0.3 2.2 7.54
DimitriPayet Marseille 31 M(CLR) 31 2358 1.9 1.1 - 0.8 7.54
MathieuDebuchy Saint-Etienne 33 D(CR) 15 1316 1.3 0.2 0.1 0.9 7.53
Fabinho Monaco 24 D(R)DMC 34 3060 0.7 0.4 - 0.4 7.51
KylianMbappé Monaco 19 AM(R)FW 1 75 27 1 1 18 7 7.51
Malcom Bordeaux 21 AM(CLR) 35 2867 38.6 1.8 0.9 29.9 6.1 7.46
DaniAlves ParisSaintGermain 35 D(R)M(R) 25 2063 72 4.2 2 59 6.8 7.45
BertrandTraoré Lyon 22 AM(R)FW 31 2292 32.2 1.2 0.4 25.4 5.2 7.43
TanguyNDombele Amiens 21 DMC 3 237 36.7 1.7 2.7 27 5.3 7.43
HoussemAouar Lyon 20 M(CL) 32 2438 48.5 1.4 1.2 40.1 5.8 7.41
MemphisDepay Lyon 24 AM(L)FW 36 2564 31 0.9 0.5 23.8 5.8 7.40
DavidAlcibiade Nantes 26 Defender 3 207 23.7 2 2.3 15.3 4 7.38
ÁngelDiMaría ParisSaintGermain 30 M(CLR) 30 2122 35.9 1.9 1.1 26.6 6.3 7.37
EnockKwateng Nantes 21 D(R) 1 90 33 1 3 20 9 7.35
RémyCabella Saint-Etienne 28 M(CLR) 26 2261 56.7 2.1 1.2 44.5 8.8 7.34
SeydouSy Monaco 22 Goalkeeper 3 256 26.3 8 10 8 0.3 7.34
Jorge Monaco 22 D(L) 22 1922 34 1.5 2 25 5.6 7.32
NaimSliti Dijon 26 AM(CL) 31 2297 25.6 1.2 1.1 17.5 5.8 7.31
JessyMoulin Saint-Etienne 32 GK 4 304 31.3 8.8 14.3 7.8 0.5 7.30
MarcoVerratti ParisSaintGermain 25 DMC 22 1724 92.7 4.9 1.5 79.7 6.6 7.28
BenjaminAndré Rennes 28 D(R)M(CLR) 34 3016 54.6 2.2 1.6 40.9 9.9 7.26
TanguyNDombele Lyon 21 DMC 32 2364 47.3 1.4 0.4 40.8 4.6 7.25
MarioBalotelli Nice 28 FW 28 2279 27.4 1.9 1.1 19 5.3 7.24
JúlioTavares Dijon 29 AM(R)FW 26 2056 20.1 0.1 0.2 12 7.7 7.22
LuizGustavo Marseille 31 D(C)M(C) 34 3023 57.1 3.3 2.1 48.1 3.7 7.22
MaximePoundjé Bordeaux 26 D(L) 19 1704 35.2 1.4 2.5 26.3 5.1 7.21
NordiMukiele Montpellier 20 D(CR)M(R) 33 2791 45.5 3 2.9 32.8 6.8 7.20
Marcelo Lyon 31 D(C) 35 3107 63.7 5.9 4.3 50 3.5 7.18
