JamesRodríguez BayernMunich 27 AM(CLR) 23 1627 1.7 0.8 - 0.9 7.63
DanielCaligiuri Schalke04 30 M(LR)FW 33 2918 1.1 0.5 - 0.6 7.57
RobertLewandowski BayernMunich 30 FW 30 2169 4.2 0.7 0.6 2.9 7.49
ArturoVidal BayernMunich 31 M(C) 22 1461 2.2 0.8 0.2 1.1 7.49
NiklasDorsch BayernMunich 20 Midfielder 1 90 1 - - 1 7.45
IgnacioCamacho Wolfsburg 28 D(C)M(C) 11 953 0.5 0.1 - 0.4 7.42
Naldo Schalke04 35 D(C) 34 3060 1.4 0.4 0.1 0.9 7.42
SergeGnabry Hoffenheim 23 AM(CLR)FW 22 1507 2.2 0.7 0.1 1.4 7.41
AlexanderHack Mainz05 24 D(C) 15 1288 0.8 0.3 0.1 0.5 7.41
MarcoReus BorussiaDortmund 29 M(CLR)FW 11 935 2.8 0.3 0.3 2.3 7.39
ThiagoAlcántara BayernMunich 27 M(C) 19 1243 67.7 5.8 1.3 56.2 4.4 7.36
SalifSané Hannover96 28 D(C)DMC 32 2880 56 4.2 4.3 41.2 6.3 7.34
LeonBailey BayerLeverkusen 21 M(LR) 30 2223 28.2 1.6 0.9 19.5 6.1 7.32
ArjenRobben BayernMunich 34 M(CLR)FW 21 1518 36.4 1.5 0.3 29.5 5.2 7.31
ThomasMüller BayernMunich 28 M(CLR)FW 29 1966 32 1.1 0.6 23.6 6.8 7.28
MatsHummels BayernMunich 29 D(C) 26 2213 77.7 5.8 4.2 62 5.7 7.27
Pierre-EmerickAubameyang BorussiaDortmund 29 M(LR)FW 16 1417 19.7 0.2 0.2 14.9 4.4 7.25
NabyKeita RasenBallsportLeipzig 23 M(C) 27 1962 44.8 1.2 1 35.3 7.3 7.24
LarsStindl BorussiaM.Gladbach 29 M(CR)FW 31 2731 51.1 2 0.8 40.3 8 7.23
JoshuaKimmich BayernMunich 23 D(CR)DMC 29 2334 61.8 5.1 1.3 50.7 4.7 7.23
SandroWagner Hoffenheim 30 FW 11 872 24 0.5 0.5 15.9 7.1 7.21
BenjaminHübner Hoffenheim 29 D(C) 27 2319 53.8 3.1 3.5 42 5.2 7.20
KingsleyComan BayernMunich 22 AM(LR)FW 21 1149 26 0.8 0.4 21.6 3.2 7.20
LarsBender BayerLeverkusen 29 D(R)M(C) 21 1603 39.6 1.8 2 29.3 6.4 7.20
LukaszPiszczek BorussiaDortmund 33 D(CR)M(R) 24 2140 54.5 1.7 2.1 42.6 8 7.19
MarcBartra BorussiaDortmund 27 D(CR) 12 806 54.5 2.3 4.1 41.1 7.1 7.16
MarioGomez VfBStuttgart 33 FW 16 1389 21.8 0.4 0.6 13.3 7.5 7.15
Caiuby Augsburg 30 AM(L)FW 33 2859 30 1.4 0.8 18.6 9.2 7.15
JérômeBoateng BayernMunich 29 D(CR) 19 1644 74.3 8.6 6.1 55.9 3.6 7.14
MaximilianPhilipp BorussiaDortmund 24 AM(LR)FW 20 1209 14.7 0.3 0.1 10.5 3.9 7.13
MarcelSabitzer RasenBallsportLeipzig 24 AM(CLR)FW 22 1793 37.1 1.5 1.5 25.8 8.3 7.13
RidleBaku Mainz05 20 Midfielder 3 234 27 0.7 0.7 21.3 4.3 7.12
ThiloKehrer Schalke04 21 D(CR) 28 2365 42.6 2.8 2.3 32.8 4.8 7.12
AlfredFinnbogason Augsburg 29 FW 22 1826 20 0.5 0.3 13.9 5.4 7.11
ThorganHazard BorussiaM.Gladbach 25 AM(CLR)FW 34 2947 34.6 1 1 25.4 7.2 7.11
NuriSahin BorussiaDortmund 29 M(C) 18 1227 59.7 2.7 3.3 48.1 5.7 7.10
JaviMartínez BayernMunich 29 D(C)M(C) 22 1612 53.8 3 1.9 44.5 4.4 7.10
BenjaminPavard VfBStuttgart 22 D(CR) 34 3060 54.8 3.2 4.1 42.6 4.9 7.10
MarcelHalstenberg RasenBallsportLeipzig 26 D(L) 15 1179 39.4 0.8 1.9 30.1 6.6 7.10
BastianOczipka Schalke04 29 D(CL)M(L) 29 2320 34.6 1.3 1.5 25.1 6.7 7.09
